Company ID ,Year ,Company name ,industry ,symbol ,No. of female on board ,female ratio,No. of independent directors ,board independence,check,equity + liabilities ,total assets ,total liability ,total equity ,Lev,FSIZE ,BSIZE ,ETR,,,,,,,,
14,2017,JOHN KEELLS HOLDINGS PLC,Capital Goods,JKH.N0000,1,12.5,5,62.5,0,"128,921,904,000","128,921,904,000",1285794000,"127,636,110,000",0.0100739046340413,25.5824726626335,8,0.0574458399176395,,,,,,,,
14,2018,JOHN KEELLS HOLDINGS PLC,Capital Goods,JKH.N0000,2,25,6,75,0,"133,626,116,000","133,626,116,000",12820706000,"120,805,410,000",0.106126919315948,25.6183115579873,8,0.0866713020897297,,,,,,,,
15,2015,KEELLS FOOD PRODUCTS PLC,FOOD BEVERAGE & TOBACCO,KFP.N0000,0,0,4,50,0,"2,409,904,458","2,409,904,458",640467816,"1,769,436,642",0.361961429303327,21.6028529396797,8,0.227718031667712,,,,,,,,
15,2016,KEELLS FOOD PRODUCTS PLC,FOOD BEVERAGE & TOBACCO,KFP.N0000,1,12.5,2,25,0,"2,406,843,746","2,406,843,746",737161993,"1,669,681,753",0.441498502140006,21.6015820771466,8,0.29601018305476,,,,,,,,
15,2017,KEELLS FOOD PRODUCTS PLC,FOOD BEVERAGE & TOBACCO,KFP.N0000,1,11.1111111111111,4,44.4444444444444,0,"2,430,750,697","2,430,750,697",684363788,"1,746,386,909",0.391874094150118,21.6114659753968,9,0.30419808853475,,,,,,,,
15,2018,KEELLS FOOD PRODUCTS PLC,FOOD BEVERAGE & TOBACCO,KFP.N0000,1,14.2857142857143,4,57.1428571428571,0,"2,566,809,315","2,566,809,315",718890172,"1,847,919,143",0.389026854731814,21.6659294528663,7,0.293164934579231,,,,,,,,
16,2015,KELANI CABLES PLC,Capital Goods,(KCAB.N0000,1,16.6666666666667,2,33.3333333333333,0,"5,095,547,628","5,095,547,628","1,901,668,290","3,193,879,338",0.595410185780788,22.3516329812603,6,0.268036076171516,,,,,,,,
16,2016,KELANI CABLES PLC,Capital Goods,(KCAB.N0000,1,16.6666666666667,2,33.3333333333333,0,"5,649,808,724","5,649,808,724","2,174,002,389","3,475,806,335",0.625467065615438,22.4548875273724,6,0.240962151419579,,,,,,,,
16,2017,KELANI CABLES PLC,Capital Goods,(KCAB.N0000,1,16.6666666666667,2,33.3333333333333,0,"6,222,725,843","6,222,725,843","2,534,038,173","3,688,687,670",0.686975531598749,22.5514738861235,6,0.253572034314348,,,,,,,,
16,2018,KELANI CABLES PLC,Capital Goods,(KCAB.N0000,1,16.6666666666667,2,33.3333333333333,0,"6,819,640,869","6,819,640,869","3,139,948,267","3,679,692,602",0.85331809110722,22.6430726489109,6,0.301343284577962,,,,,,,,
17,2015,KOTMALE HOLDINGS PLC,FOOD BEVERAGE & TOBACCO,LAMB.N0000,0,0,2,33.3333333333333,0,"387,194,997","387,194,997","16,345,629","370,849,368",0.044076194839302,19.7744389923121,6,0.278774337800565,,,,,,,,
17,2016,KOTMALE HOLDINGS PLC,FOOD BEVERAGE & TOBACCO,LAMB.N0000,0,0,2,33.3333333333333,0,"359,234,636","359,234,636","21,107,780","338,126,856",0.0624256240681456,19.6994863151334,6,0.0620946426515842,,,,,,,,
